host,metric,with_context,no_context,winner,p,mean_ctx,mean_noctx
SA,auc,ctx-expl,noctx-expl,noctx-expl,0.7561664581298828,0.6650379786319804,0.6537377934317107
SA,auc,ctx-greedy,noctx-greedy,ctx-greedy,0.40909767150878906,0.4121576778135722,0.4269381539912396
Tabu,auc,ctx-expl,noctx-expl,ctx-expl,0.09730720520019531,0.6000335366052061,0.6237844190159163
Tabu,auc,ctx-greedy,noctx-greedy,noctx-greedy,0.47490501403808594,0.3720860195863863,0.36613745605230863
SA,gap,ctx-expl,noctx-expl,noctx-expl,0.21616744995117188,0.18694453709101305,0.18135847743052386
SA,gap,ctx-greedy,noctx-greedy,ctx-greedy,0.10539817810058594,0.11348615985207597,0.12103325579763438
Tabu,gap,ctx-expl,noctx-expl,ctx-expl,0.9272785186767578,0.17413222040462345,0.17552735772048064
Tabu,gap,ctx-greedy,noctx-greedy,ctx-greedy,0.2773551940917969,0.09823524892669852,0.09978844942301458
