host,metric,reference,baseline,winner,p,p_holm,significant
LS,q25,serene,roulette,roulette,0.14468045105413413,0.4340413531624024,False
LS,q25,serene,exp3,serene,0.40603734708384176,0.8120746941676835,False
LS,q25,serene,ucb1,ucb1,0.865205844829947,0.865205844829947,False
SA,q25,serene,greedy-mean,serene,4.3655745685100555e-11,2.1827872842550278e-10,True
SA,q25,serene,exp3,serene,0.00011855702965875105,0.0004742281186350042,True
SA,q25,serene,roulette,serene,0.00020915378477376445,0.0006274613543212934,True
SA,q25,serene,uniform,serene,0.0013479328918037936,0.0026958657836075872,True
SA,q25,serene,ucb1,serene,0.10374933354614768,0.10374933354614768,False
Tabu,q25,serene,greedy-mean,serene,1.680295787277147e-07,8.401478936385735e-07,True
Tabu,q25,serene,exp3,serene,1.8866558093577623e-07,8.401478936385735e-07,True
Tabu,q25,serene,uniform,serene,2.148881321772933e-07,8.401478936385735e-07,True
Tabu,q25,serene,ucb1,serene,3.1478703022003174e-07,8.401478936385735e-07,True
Tabu,q25,serene,roulette,serene,1.080476795323193e-05,1.080476795323193e-05,True
ALNS,q50,serene,greedy-mean,serene,1.4551915228366852e-11,7.275957614183426e-11,True
ALNS,q50,serene,roulette,roulette,0.1504502624314629,0.6018010497258516,False
ALNS,q50,serene,ucb1,ucb1,0.3126185554727584,0.9378556664182752,False
ALNS,q50,serene,uniform,uniform,0.5128136262533662,1.0,False
ALNS,q50,serene,exp3,exp3,0.5258798792348047,1.0,False
LS,q50,serene,greedy-mean,serene,4.94597337874122e-07,2.47298668937061e-06,True
LS,q50,serene,roulette,roulette,0.13465019845199225,0.538600793807969,False
LS,q50,serene,uniform,serene,0.17406032402867178,0.538600793807969,False
LS,q50,serene,ucb1,serene,0.8754183251067574,1.0,False
LS,q50,serene,exp3,exp3,0.9913730025557684,1.0,False
SA,q50,serene,greedy-mean,serene,1.680295787277147e-07,8.401478936385735e-07,True
SA,q50,serene,roulette,serene,0.01706043060176656,0.06824172240706625,False
SA,q50,serene,uniform,serene,0.139617680771038,0.41885304231311404,False
SA,q50,serene,ucb1,serene,0.7989122673922153,1.0,False
SA,q50,serene,exp3,serene,0.8908918267813407,1.0,False
Tabu,q50,serene,greedy-mean,serene,1.4551915228366852e-11,7.275957614183426e-11,True
Tabu,q50,serene,roulette,serene,1.6538251657038927e-07,6.615300662815571e-07,True
Tabu,q50,serene,uniform,serene,1.0555748223454336e-06,3.166724467036301e-06,True
Tabu,q50,serene,exp3,serene,1.352720759486898e-06,3.166724467036301e-06,True
Tabu,q50,serene,ucb1,serene,3.5759443469322924e-06,3.5759443469322924e-06,True
ALNS,q75,serene,greedy-mean,serene,2.4770276393652366e-07,1.2385138196826183e-06,True
ALNS,q75,serene,roulette,roulette,0.012507961408460461,0.050031845633841845,False
ALNS,q75,serene,ucb1,ucb1,0.09607134092833367,0.28821402278500097,False
ALNS,q75,serene,uniform,uniform,0.2319349847309139,0.4638699694618278,False
ALNS,q75,serene,exp3,exp3,0.7989122673922153,0.7989122673922153,False
LS,q75,serene,greedy-mean,serene,4.167238601509983e-07,2.0836193007549914e-06,True
LS,q75,serene,uniform,serene,0.082514957166552,0.330059828666208,False
LS,q75,serene,ucb1,serene,0.24757823371300602,0.7427347011390181,False
LS,q75,serene,roulette,roulette,0.6005694731963678,1.0,False
LS,q75,serene,exp3,serene,0.8450723347950176,1.0,False
SA,q75,serene,greedy-mean,serene,1.680295787277147e-07,8.401478936385735e-07,True
SA,q75,serene,roulette,serene,0.07690656554869255,0.3076262621947702,False
SA,q75,serene,exp3,exp3,0.36377204140561625,1.0,False
SA,q75,serene,ucb1,ucb1,0.6308719173229826,1.0,False
SA,q75,serene,uniform,serene,0.6732798065233047,1.0,False
Tabu,q75,serene,greedy-mean,serene,1.4551915228366852e-11,7.275957614183426e-11,True
Tabu,q75,serene,uniform,serene,3.507469074487084e-07,1.4029876297948336e-06,True
Tabu,q75,serene,exp3,serene,4.075179932891844e-06,1.2225539798675533e-05,True
Tabu,q75,serene,ucb1,serene,9.141394573614123e-06,1.8282789147228245e-05,True
Tabu,q75,serene,roulette,serene,1.5825725060733728e-05,1.8282789147228245e-05,True
ALNS,q100,serene,greedy-mean,serene,1.680295787277147e-07,8.401478936385735e-07,True
ALNS,q100,serene,roulette,roulette,0.009233309555352946,0.036933238221411785,True
ALNS,q100,serene,ucb1,ucb1,0.25363154442918634,0.760894633287559,False
ALNS,q100,serene,uniform,serene,0.6732787363156975,1.0,False
ALNS,q100,serene,exp3,serene,0.8290130316946699,1.0,False
LS,q100,serene,greedy-mean,serene,2.9490902586776513e-07,1.4745451293388256e-06,True
LS,q100,serene,uniform,serene,0.03736743912246527,0.14946975648986108,False
