host,metric,reference,baseline,winner,p,p_holm,significant
ALNS,q100,serene,uniform,uniform,0.7333984375,1.0,False
ALNS,q100,serene,exp3,exp3,0.791015625,1.0,False
LS,q100,serene,greedy-mean,serene,0.0009765625,0.0048828125,True
LS,q100,serene,uniform,serene,0.2568359375,1.0,False
LS,q100,serene,exp3,serene,0.45654296875,1.0,False
LS,q100,serene,ucb1,serene,0.60791015625,1.0,False
LS,q100,serene,roulette,roulette,0.77392578125,1.0,False
SA,q100,serene,greedy-mean,serene,0.00048828125,0.00244140625,True
SA,q100,serene,roulette,serene,0.0185546875,0.07421875,False
SA,q100,serene,exp3,serene,0.05224609375,0.15673828125,False
SA,q100,serene,ucb1,serene,0.10986328125,0.2197265625,False
SA,q100,serene,uniform,serene,0.33935546875,0.33935546875,False
Tabu,q100,serene,exp3,serene,0.00048828125,0.00244140625,True
Tabu,q100,serene,greedy-mean,serene,0.00048828125,0.00244140625,True
Tabu,q100,serene,roulette,serene,0.00048828125,0.00244140625,True
Tabu,q100,serene,ucb1,serene,0.00048828125,0.00244140625,True
Tabu,q100,serene,uniform,serene,0.00048828125,0.00244140625,True
