host,metric,reference,baseline,winner,p,p_holm,significant
SA,q75,serene-full,greedy-mean,serene-full,0.00048828125,0.00341796875,True
SA,q75,serene-full,serene-noexpl,serene-full,0.00048828125,0.00341796875,True
SA,q75,serene-full,roulette,serene-full,0.0419921875,0.2099609375,False
SA,q75,serene-full,serene-noctx,serene-full,0.12939453125,0.517578125,False
SA,q75,serene-full,uniform,serene-full,0.4697265625,1.0,False
SA,q75,serene-full,serene-plainTS,serene-full,0.6220703125,1.0,False
SA,q75,serene-full,serene-nogate,serene-full,0.85009765625,1.0,False
Tabu,q75,serene-full,greedy-mean,serene-full,0.00048828125,0.00341796875,True
Tabu,q75,serene-full,roulette,serene-full,0.00048828125,0.00341796875,True
Tabu,q75,serene-full,serene-noexpl,serene-full,0.00048828125,0.00341796875,True
Tabu,q75,serene-full,serene-nogate,serene-full,0.00048828125,0.00341796875,True
Tabu,q75,serene-full,uniform,serene-full,0.00048828125,0.00341796875,True
Tabu,q75,serene-full,serene-plainTS,serene-full,0.0009765625,0.00341796875,True
Tabu,q75,serene-full,serene-noctx,serene-full,1.0,1.0,False
ALNS,q100,serene-full,greedy-mean,serene-full,0.00048828125,0.00341796875,True
ALNS,q100,serene-full,serene-noexpl,serene-full,0.00048828125,0.00341796875,True
ALNS,q100,serene-full,roulette,roulette,0.04248046875,0.21240234375,False
ALNS,q100,serene-full,serene-noctx,serene-noctx,0.2333984375,0.93359375,False
ALNS,q100,serene-full,serene-plainTS,serene-plainTS,0.423828125,1.0,False
ALNS,q100,serene-full,serene-nogate,serene-nogate,0.67724609375,1.0,False
ALNS,q100,serene-full,uniform,uniform,0.7333984375,1.0,False
SA,q100,serene-full,greedy-mean,serene-full,0.00048828125,0.00341796875,True
SA,q100,serene-full,serene-noexpl,serene-full,0.00048828125,0.00341796875,True
SA,q100,serene-full,serene-noctx,serene-full,0.0068359375,0.0341796875,True
SA,q100,serene-full,roulette,serene-full,0.0185546875,0.07421875,False
SA,q100,serene-full,serene-plainTS,serene-full,0.240234375,0.720703125,False
SA,q100,serene-full,serene-nogate,serene-full,0.33935546875,0.720703125,False
SA,q100,serene-full,uniform,serene-full,0.33935546875,0.720703125,False
Tabu,q100,serene-full,greedy-mean,serene-full,0.00048828125,0.00341796875,True
Tabu,q100,serene-full,roulette,serene-full,0.00048828125,0.00341796875,True
Tabu,q100,serene-full,serene-noexpl,serene-full,0.00048828125,0.00341796875,True
Tabu,q100,serene-full,serene-nogate,serene-full,0.00048828125,0.00341796875,True
Tabu,q100,serene-full,uniform,serene-full,0.00048828125,0.00341796875,True
Tabu,q100,serene-full,serene-plainTS,serene-full,0.00341796875,0.0068359375,True
Tabu,q100,serene-full,serene-noctx,serene-noctx,0.33935546875,0.33935546875,False
