host,selector,g25,g50,g75,g100,auc
ALNS,greedy-mean,3.4865356089099158,1.9932700283948703,1.6278024558729793,1.338736505590035,0.09034519988921867
ALNS,roulette,0.9726557145605244,0.41884539554895006,0.2672451441930184,0.19920324060110858,0.07157563146109543
ALNS,serene-full,0.9192923572888032,0.6670513000044448,0.5362633018656251,0.29060226558461,0.0552894725768501
ALNS,serene-noctx,0.8989131244209643,0.4262782662543957,0.3405020411648025,0.21998119932316262,0.05337684024954881
ALNS,serene-noexpl,4.62172639197773,3.1598839526645452,2.606138402077442,2.2778853889664052,0.10757427381846356
ALNS,serene-nogate,1.3653796561253833,0.5491283781498723,0.3490030355899576,0.28692114213769987,0.07057339516675225
ALNS,serene-plainTS,1.1166083456442817,0.4531652285794079,0.2843386770246744,0.23113771438253192,0.07084405530853785
ALNS,uniform,1.1831081577548577,0.600950965893565,0.35192403378153014,0.2812073048788421,0.0649576814442029
SA,greedy-mean,5.50525901402891,2.045510380333415,1.3513927167417938,1.065910608758267,0.11562778410462249
SA,roulette,2.4096500102137783,0.6666144709114155,0.38353167214564293,0.306995299785241,0.0826086322774145
SA,serene-full,1.3182473128252779,0.38096404480215307,0.2373877902438827,0.15897706546945883,0.06025896329149123
SA,serene-noctx,0.9686728278055242,0.5162851653933703,0.3731325750534487,0.3096814538486931,0.05804176124948142
SA,serene-noexpl,7.097668469315729,3.7144684312581298,1.9266235488671444,1.3187578278088705,0.12136564567210131
SA,serene-nogate,1.8936033152895597,0.5498491855694893,0.2957671474996743,0.2614849489933141,0.07812629214885122
SA,serene-plainTS,1.8463394332271423,0.5529718908299426,0.33353707674361377,0.2888189174715355,0.07478533237941269
SA,uniform,1.9112976421904218,0.5520872332731941,0.291490714989842,0.2313567897966533,0.07472021804957572
Tabu,greedy-mean,7.247886373745498,5.940536509709261,5.735784844237692,5.4924034023127035,0.17108053836171988
Tabu,roulette,2.892046779591069,1.68793499588411,1.291429997727279,1.0200412649152895,0.10292280848334193
Tabu,serene-full,1.3868981134313336,0.666513908731791,0.5131841409084956,0.47868027980324235,0.0616010434251758
Tabu,serene-noctx,1.4297541932278683,0.6922633193684921,0.5257387606496143,0.4463049932207723,0.06292153225995394
Tabu,serene-noexpl,5.022419124444213,4.393592164296469,4.348958711444576,4.348958711444576,0.13562105635663269
Tabu,serene-nogate,2.8840106230045195,1.7223014959920604,1.22650862526545,0.9988094579934051,0.09736206944801559
Tabu,serene-plainTS,3.2659250484410594,1.5907623109596079,1.0094902693459906,0.8249502008318128,0.09487826483205167
Tabu,uniform,3.6200790884799923,1.9996132802447233,1.5468160124087993,1.3526589748448552,0.09373831376635161
