host,metric,reference,baseline,winner,p,p_holm,significant
SA,q75,serene-full,greedy-mean,serene-full,0.00048828125,0.00341796875,True
SA,q75,serene-full,serene-noexpl,serene-full,0.00244140625,0.0146484375,True
SA,q75,serene-full,serene-noctx,serene-full,0.1513671875,0.7568359375,False
SA,q75,serene-full,serene-nogate,serene-full,0.6220703125,1.0,False
SA,q75,serene-full,roulette,serene-full,0.7333984375,1.0,False
SA,q75,serene-full,serene-plainTS,serene-full,0.791015625,1.0,False
SA,q75,serene-full,uniform,serene-full,0.791015625,1.0,False
Tabu,q75,serene-full,greedy-mean,serene-full,0.00048828125,0.00341796875,True
Tabu,q75,serene-full,serene-noexpl,serene-full,0.00048828125,0.00341796875,True
Tabu,q75,serene-full,roulette,serene-full,0.01220703125,0.06103515625,False
Tabu,q75,serene-full,serene-plainTS,serene-full,0.05224609375,0.208984375,False
Tabu,q75,serene-full,uniform,serene-full,0.06396484375,0.208984375,False
Tabu,q75,serene-full,serene-nogate,serene-full,0.20361328125,0.4072265625,False
Tabu,q75,serene-full,serene-noctx,serene-noctx,0.791015625,0.791015625,False
ALNS,q100,serene-full,serene-noexpl,serene-full,0.00048828125,0.00341796875,True
ALNS,q100,serene-full,greedy-mean,serene-full,0.00244140625,0.0146484375,True
ALNS,q100,serene-full,serene-nogate,serene-full,0.17626953125,0.88134765625,False
ALNS,q100,serene-full,serene-plainTS,serene-full,0.30126953125,1.0,False
ALNS,q100,serene-full,roulette,roulette,0.423828125,1.0,False
ALNS,q100,serene-full,uniform,serene-full,0.67724609375,1.0,False
ALNS,q100,serene-full,serene-noctx,serene-full,0.8984375,1.0,False
SA,q100,serene-full,serene-noexpl,serene-full,0.00048828125,0.00341796875,True
SA,q100,serene-full,greedy-mean,serene-full,0.0009765625,0.005859375,True
SA,q100,serene-full,serene-nogate,serene-full,0.20361328125,1.0,False
SA,q100,serene-full,roulette,serene-full,0.240234375,1.0,False
SA,q100,serene-full,serene-noctx,serene-full,0.3203125,1.0,False
SA,q100,serene-full,uniform,serene-full,0.46484375,1.0,False
SA,q100,serene-full,serene-plainTS,serene-full,0.7333984375,1.0,False
Tabu,q100,serene-full,greedy-mean,serene-full,0.00048828125,0.00341796875,True
Tabu,q100,serene-full,serene-noexpl,serene-full,0.00048828125,0.00341796875,True
Tabu,q100,serene-full,uniform,serene-full,0.0068359375,0.0341796875,True
Tabu,q100,serene-full,roulette,serene-full,0.01611328125,0.064453125,False
Tabu,q100,serene-full,serene-plainTS,serene-full,0.0341796875,0.1025390625,False
Tabu,q100,serene-full,serene-nogate,serene-full,0.10986328125,0.2197265625,False
Tabu,q100,serene-full,serene-noctx,serene-noctx,0.67724609375,0.67724609375,False
