host,metric,reference,baseline,winner,p,p_holm,significant
ALNS,q100,serene,exp3,serene,0.5693359375,1.0,False
ALNS,q100,serene,uniform,serene,1.0,1.0,False
LS,q100,serene,greedy-mean,serene,0.00048828125,0.00244140625,True
LS,q100,serene,uniform,serene,0.12939453125,0.517578125,False
LS,q100,serene,exp3,exp3,0.2060546875,0.6181640625,False
LS,q100,serene,roulette,roulette,0.4130859375,0.826171875,False
LS,q100,serene,ucb1,serene,0.6220703125,0.826171875,False
SA,q100,serene,greedy-mean,serene,0.0009765625,0.0048828125,True
SA,q100,serene,exp3,exp3,0.20361328125,0.814453125,False
SA,q100,serene,ucb1,ucb1,0.4130859375,1.0,False
SA,q100,serene,uniform,serene,0.85009765625,1.0,False
SA,q100,serene,roulette,roulette,0.9697265625,1.0,False
Tabu,q100,serene,greedy-mean,serene,0.00048828125,0.00244140625,True
Tabu,q100,serene,roulette,serene,0.00048828125,0.00244140625,True
Tabu,q100,serene,uniform,serene,0.0009765625,0.0029296875,True
Tabu,q100,serene,ucb1,serene,0.00244140625,0.0048828125,True
Tabu,q100,serene,exp3,serene,0.00927734375,0.00927734375,True
