horizon,regret_ctx,regret_cf,reduction,wilcoxon_p
1,0.008337622330975005,0.0031465150959187156,-0.00519110723505629,0.0003808494407730689
3,0.0070447893817487004,0.0032517020475073912,-0.0037930873342413092,0.8726465756969128
5,0.005020365885464867,0.003788072728260438,-0.001232293157204429,0.0001280657969416023
8,0.003741298703737587,0.004056547340387731,0.0003152486366501438,6.429571103705946e-13
