host,metric,reference,baseline,winner,p,p_holm,significant
Tabu,q50,serene-full,serene-nogate,serene-full,4.0320446714758873e-07,1.612817868590355e-06,True
Tabu,q50,serene-full,uniform,serene-full,1.0555748223454336e-06,3.166724467036301e-06,True
Tabu,q50,serene-full,serene-plainTS,serene-full,6.639428259340563e-06,1.3278856518681126e-05,True
Tabu,q50,serene-full,serene-noctx,serene-full,0.22420171740248418,0.22420171740248418,False
ALNS,q75,serene-full,serene-noexpl,serene-full,1.4551915228366852e-11,1.0186340659856796e-10,True
ALNS,q75,serene-full,greedy-mean,serene-full,2.4770276393652366e-07,1.486216583619142e-06,True
ALNS,q75,serene-full,roulette,roulette,0.012507961408460461,0.0625398070423023,False
ALNS,q75,serene-full,serene-plainTS,serene-plainTS,0.03318108280504148,0.13272433122016591,False
ALNS,q75,serene-full,serene-noctx,serene-noctx,0.119242084569542,0.357726253708626,False
ALNS,q75,serene-full,uniform,uniform,0.2319349847309139,0.4638699694618278,False
ALNS,q75,serene-full,serene-nogate,serene-nogate,0.4284300285458069,0.4638699694618278,False
SA,q75,serene-full,serene-noexpl,serene-full,1.4551915228366852e-11,1.0186340659856796e-10,True
SA,q75,serene-full,greedy-mean,serene-full,1.680295787277147e-07,1.0081774723662883e-06,True
SA,q75,serene-full,serene-noctx,serene-full,0.03419689190108084,0.1709844595054042,False
SA,q75,serene-full,roulette,serene-full,0.07690656554869255,0.3076262621947702,False
SA,q75,serene-full,serene-nogate,serene-full,0.3744947549643215,1.0,False
SA,q75,serene-full,uniform,serene-full,0.6732798065233047,1.0,False
SA,q75,serene-full,serene-plainTS,serene-full,0.894871769020214,1.0,False
Tabu,q75,serene-full,greedy-mean,serene-full,1.4551915228366852e-11,1.0186340659856796e-10,True
Tabu,q75,serene-full,serene-noexpl,serene-full,1.4551915228366852e-11,1.0186340659856796e-10,True
Tabu,q75,serene-full,uniform,serene-full,3.507469074487084e-07,1.753734537243542e-06,True
Tabu,q75,serene-full,roulette,serene-full,1.5825725060733728e-05,6.330290024293491e-05,True
Tabu,q75,serene-full,serene-plainTS,serene-full,6.094213954657029e-05,0.00018282641863971087,True
Tabu,q75,serene-full,serene-nogate,serene-full,8.122835209938943e-05,0.00018282641863971087,True
Tabu,q75,serene-full,serene-noctx,serene-noctx,0.6435165948165775,0.6435165948165775,False
ALNS,q100,serene-full,serene-noexpl,serene-full,1.4551915228366852e-11,1.0186340659856796e-10,True
ALNS,q100,serene-full,greedy-mean,serene-full,1.680295787277147e-07,1.0081774723662883e-06,True
ALNS,q100,serene-full,roulette,roulette,0.009233309555352946,0.04616654777676473,True
ALNS,q100,serene-full,serene-plainTS,serene-plainTS,0.18658721888641716,0.7463488755456686,False
ALNS,q100,serene-full,serene-noctx,serene-noctx,0.3744947549643215,1.0,False
ALNS,q100,serene-full,uniform,serene-full,0.6732787363156975,1.0,False
ALNS,q100,serene-full,serene-nogate,serene-nogate,0.8711688268414225,1.0,False
SA,q100,serene-full,greedy-mean,serene-full,2.356281382362627e-07,1.649396967653839e-06,True
SA,q100,serene-full,serene-noexpl,serene-full,3.6528331903032994e-07,2.1916999141819795e-06,True
SA,q100,serene-full,serene-noctx,serene-full,0.002404892089595166,0.01202446044797583,True
SA,q100,serene-full,roulette,serene-full,0.10746884001658802,0.4298753600663521,False
SA,q100,serene-full,uniform,serene-full,0.6891349940127396,1.0,False
SA,q100,serene-full,serene-plainTS,serene-full,0.7508834218468307,1.0,False
SA,q100,serene-full,serene-nogate,serene-full,0.7702279516161411,1.0,False
Tabu,q100,serene-full,greedy-mean,serene-full,1.4551915228366852e-11,1.0186340659856796e-10,True
Tabu,q100,serene-full,serene-noexpl,serene-full,1.4551915228366852e-11,1.0186340659856796e-10,True
Tabu,q100,serene-full,roulette,serene-full,6.481461715842578e-07,3.2407308579212887e-06,True
Tabu,q100,serene-full,uniform,serene-full,7.110442835794288e-07,3.2407308579212887e-06,True
Tabu,q100,serene-full,serene-plainTS,serene-full,1.358689668722816e-05,4.076069006168448e-05,True
Tabu,q100,serene-full,serene-nogate,serene-full,2.5171416880511184e-05,5.034283376102237e-05,True
Tabu,q100,serene-full,serene-noctx,serene-noctx,0.9808326681373396,0.9808326681373396,False
