host,selector,g25,g50,g75,g100,auc
ALNS,greedy-mean,0.017815291939542156,0.011672599702773788,0.00984363404902676,0.008757488726360318,0.13417341941810768
ALNS,roulette,0.00537910176331596,0.0025025426982784272,0.0016167181497143298,0.001154311216269706,0.06325851156237033
ALNS,serene-full,0.00476693045281682,0.0034133202464473986,0.002619092377091004,0.0015584985358558776,0.054182211001363424
ALNS,serene-noctx,0.004735673021081072,0.0023838429929665408,0.001955651788348651,0.001419472285086448,0.04931972822238214
ALNS,serene-noexpl,0.02568649042270188,0.016874333822657163,0.01369766873806373,0.011919782118870896,0.14179812286194257
ALNS,serene-nogate,0.006735541147625925,0.002961805939631402,0.001986746045346178,0.0015427889764287877,0.06327950204975721
ALNS,serene-plainTS,0.0059547492911158455,0.002616055035863085,0.0016279496294797286,0.0013266275599645135,0.055755019390261215
ALNS,uniform,0.006771835619379892,0.003088329379730253,0.001989912840894878,0.0015775690317933067,0.05992071210735186
SA,greedy-mean,0.0274688030449845,0.012526999777236184,0.0087971364666318,0.007331220101434416,0.15615834198048584
SA,roulette,0.011672223669450933,0.0034572792273840605,0.002105721280953177,0.0016122095056635523,0.07492193862508835
SA,serene-full,0.00664584711621159,0.002514911096483301,0.001604354888162582,0.001148409469564757,0.05789592220157931
SA,serene-noctx,0.00612836402554128,0.0031536903616503054,0.0022027811092804436,0.0017453231395223266,0.0644297720870625
SA,serene-noexpl,0.036371286061327154,0.0186495015115889,0.00995400410472786,0.006725148265064425,0.14712789128966564
SA,serene-nogate,0.009465710756884332,0.0031202365608807444,0.0016494288603081033,0.0013870446505494334,0.0665331562740292
SA,serene-plainTS,0.00934879741910613,0.003104839266166321,0.0018810000658406943,0.00154594281897317,0.07035446903350662
SA,uniform,0.009832196542080581,0.0029662281394246376,0.0017157215453746525,0.001395050158758236,0.075556350228873
Tabu,greedy-mean,0.035094781238221476,0.03035970842636021,0.029479335304945405,0.028598506907214414,0.1933911550736026
Tabu,roulette,0.014374431037452963,0.008208087563607224,0.006187466474133119,0.004864977924127156,0.09880381162105342
Tabu,serene-full,0.007115542435629744,0.003470577160078797,0.0027438792565007996,0.0022563609799726874,0.05995598791223055
Tabu,serene-noctx,0.007584516789109085,0.003818970048934239,0.002728944349298298,0.0022738874723922777,0.055758350726381925
Tabu,serene-noexpl,0.030514494211746523,0.02576163734973338,0.02453344909092299,0.02413270714793407,0.21137870436721248
Tabu,serene-nogate,0.01350417867283654,0.008028872887585374,0.005540240221011578,0.004514552663624539,0.08974967916097655
Tabu,serene-plainTS,0.014964988835737953,0.007565273660355108,0.005053116716931603,0.004085087811664813,0.07768463526098945
Tabu,uniform,0.016458589865756854,0.009271552619022754,0.007273863358801321,0.006163043530946513,0.09248464273813232
