selector,gap,auc,q25
roulette,0.10705763442562624,0.444405741122862,30225.3
serene-full,0.10277109637329224,0.38925854738763555,29386.45
serene-noctx,0.1005707209161235,0.3921886926369896,29519.23
serene-noexpl,0.09544919994765497,0.355928606803526,29016.59
serene-nogate,0.11561180945243643,0.4628789645845536,30324.31
serene-plainTS,0.10887101386360605,0.45675473822480284,30390.35
uniform,0.11374443209333147,0.4605935970421826,30382.67
