host,metric,reference,baseline,winner,p,p_holm,significant
ALNS,auc,serene-full,uniform,serene-full,1.9073486328125e-06,1.1444091796875e-05,True
ALNS,auc,serene-full,serene-plainTS,serene-full,3.814697265625e-06,1.9073486328125e-05,True
ALNS,auc,serene-full,roulette,serene-full,9.5367431640625e-06,3.814697265625e-05,True
ALNS,auc,serene-full,serene-nogate,serene-full,1.9073486328125e-05,5.7220458984375e-05,True
ALNS,auc,serene-full,serene-noexpl,serene-noexpl,0.001689910888671875,0.00337982177734375,True
ALNS,auc,serene-full,serene-noctx,serene-full,0.6215133666992188,0.6215133666992188,False
