metric,a,b,winner,p,mean_a,mean_b
auc,serene-greedy,greedy-mean,greedy-mean,0.36827659606933594,0.35592860680352606,0.3495791681916844
auc,serene-greedy,greedy-mean-eps,greedy-mean-eps,0.956329345703125,0.35592860680352606,0.35524436038286084
q25,serene-greedy,greedy-mean,serene-greedy,0.082550048828125,29016.589999999997,29090.120000000003
q25,serene-greedy,greedy-mean-eps,serene-greedy,0.49800872802734375,29016.589999999997,29045.15
ttt,serene-greedy,greedy-mean,serene-greedy,0.31731050786291415,1498.6799999999998,1501.0
ttt,serene-greedy,greedy-mean-eps,serene-greedy,0.31731050786291415,1498.6799999999998,1501.0
gap,serene-greedy,greedy-mean,greedy-mean,0.8123550415039062,0.09544919994765497,0.09524835374704693
gap,serene-greedy,greedy-mean-eps,greedy-mean-eps,0.6215133666992188,0.09544919994765497,0.09330915978156604
